,PP spectrum,
Raman shift [1/cm],Counts/sec,
3134.165,360.80417,
3133.201,367.91769,
3132.237,375.47421,
3131.272,378.03046,
3130.308,368.02005,
3129.344,347.73047,
3128.380,348.9823,
3127.415,373.30832,
3126.451,376.31613,
3125.487,354.88489,
3124.523,342.89401,
3123.558,346.45703,
3122.594,350.61093,
3121.630,350.67032,
3120.666,351.7341,
3119.702,352.56067,
3118.737,351.5513,
3117.773,353.55078,
3116.809,351.74426,
3115.845,348.37137,
3114.880,351.08905,
3113.916,353.05832,
3112.952,348.4216,
3111.988,344.22083,
3111.023,347.10599,
3110.059,350.55051,
3109.095,347.14948,
3108.131,345.27423,
3107.166,354.48828,
3106.202,365.73126,
3105.238,375.39426,
3104.274,373.35495,
3103.310,353.31119,
3102.345,339.91486,
3101.381,345.83514,
3100.417,351.62735,
3099.453,352.26666,
3098.488,357.30365,
3097.524,368.89426,
3096.560,378.25781,
3095.596,381.62943,
3094.631,381.71173,
3093.667,379.45468,
3092.703,379.66666,
3091.739,381.67709,
3090.775,377.41718,
3089.810,368.86432,
3088.846,369.46616,
3087.882,377.27866,
3086.918,381.84375,
3085.953,385.99896,
3084.989,386.36639,
3084.025,384.86301,
3083.061,386.78125,
3082.096,390.85574,
3081.132,395.37552,
3080.168,398.49637,
3079.204,397.21329,
3078.239,394.92551,
3077.275,401.08594,
3076.311,408.79974,
3075.347,408.89636,
3074.383,408.63803,
3073.418,413.88855,
3072.454,417.53256,
3071.490,417.33749,
3070.526,420.00339,
3069.561,427.41666,
3068.597,432.069,
3067.633,430.37683,
3066.669,423.61407,
3065.704,414.34686,
3064.740,414.74426,
3063.776,427.75259,
3062.812,430.44635,
3061.848,419.9552,
3060.883,413.5177,
3059.919,413.36145,
3058.955,419.69427,
3057.991,429.33881,
3057.026,430.84634,
3056.062,425.74817,
3055.098,427.90366,
3054.134,435.81458,
3053.169,433.01041,
3052.205,418.39764,
3051.241,420.18124,
3050.277,431.04715,
3049.312,441.83151,
3048.348,449.48438,
3047.384,449.13931,
3046.420,444.99689,
3045.456,443.85938,
3044.491,444.14011,
3043.527,443.74011,
3042.563,443.05807,
3041.599,447.80728,
3040.634,455.72995,
3039.670,461.20807,
3038.706,464.18332,
3037.742,464.6763,
3036.777,462.93802,
3035.813,460.26093,
3034.849,459.75729,
3033.885,463.10858,
3032.921,467.42215,
3031.956,472.68906,
3030.992,480.34375,
3030.028,488.51303,
3029.064,494.77969,
3028.099,498.38022,
3027.135,499.47083,
3026.171,500.81537,
3025.207,502.82553,
3024.242,505.21719,
3023.278,510.53177,
3022.314,517.79456,
3021.350,525.38202,
3020.385,535.68958,
3019.421,547.36383,
3018.457,561.20288,
3017.493,566.95471,
3016.529,561.94739,
3015.564,561.08698,
3014.600,566.56665,
