,PVC Spectrum,
Raman shift [1/cm],Counts/sec,
3151.521,4.8054436,
3150.557,5.3311186,
3149.593,6.8616466,
3148.628,5.2649774,
3147.664,2.7109352,
3146.700,2.8361166,
3145.736,4.4153751,
3144.771,4.9253465,
3143.807,4.8345611,
3142.843,5.2738294,
3141.879,5.3430781,
3140.915,3.8013894,
3139.950,2.7623862,
3138.986,5.1816594,
3138.022,6.8781542,
3137.058,4.6516511,
3136.093,2.2163588,
3135.129,2.0537472,
3134.165,2.292454,
3133.201,1.5235191,
3132.236,1.9442062,
3131.272,4.3973132,
3130.308,5.767388,
3129.344,5.2786251,
3128.380,5.4730162,
3127.415,6.3467043,
3126.451,6.8033759,
3125.487,6.2869759,
3124.523,4.6763867,
3123.558,3.1099625,
3122.594,3.6325946,
3121.630,5.7996085,
3120.666,6.8560753,
3119.701,6.5481135,
3118.737,5.2089091,
3117.773,3.6403098,
3116.809,4.4387934,
3115.844,5.7524599,
3114.880,6.2233339,
3113.916,5.9799893,
3112.952,5.2073964,
3111.988,4.7739638,
3111.023,5.6744424,
3110.059,6.8044623,
3109.095,6.581772,
3108.131,6.1964354,
3107.166,6.6063869,
3106.202,6.7541066,
3105.238,6.1588334,
3104.274,6.9153182,
3103.309,9.8684826,
3102.345,11.019034,
3101.381,8.385016,
3100.417,6.6490935,
3099.453,7.6650263,
3098.488,7.7250752,
3097.524,5.8219407,
3096.560,5.8746167,
3095.596,8.1252664,
3094.631,8.2577521,
3093.667,6.895389,
3092.703,7.2293637,
3091.739,8.4607997,
3090.774,7.2801016,
3089.810,4.5747696,
3088.846,5.2583768,
3087.882,8.4847086,
3086.917,8.2330371,
3085.953,5.9004821,
3084.989,5.6544016,
3084.025,5.6940633,
3083.061,4.9407562,
3082.096,4.7135966,
3081.132,6.416802,
3080.168,8.3286094,
3079.204,8.0006215,
3078.239,6.9373798,
3077.275,8.0818359,
3076.311,9.3733132,
3075.347,8.7187943,
3074.382,7.6521907,
3073.418,7.0852238,
3072.454,8.0952125,
3071.490,11.617506,
3070.526,13.946953,
3069.561,12.955819,
3068.597,11.207384,
3067.633,10.086245,
3066.669,8.810712,
3065.704,7.6544653,
3064.740,8.0128568,
3063.776,10.300526,
3062.812,12.99044,
3061.847,15.859482,
3060.883,14.990973,
3059.919,11.220683,
3058.955,10.700832,
3057.990,12.968263,
3057.026,12.765917,
3056.062,10.291183,
3055.098,11.015278,
3054.134,14.929509,
3053.169,17.830361,
3052.205,19.679651,
3051.241,18.876818,
3050.277,16.49205,
3049.312,12.386701,
3048.348,8.8249555,
3047.384,10.311614,
3046.420,15.077873,
3045.455,18.790871,
3044.491,21.27115,
3043.527,21.191762,
3042.563,19.4863,
3041.599,17.95171,
3040.634,16.576555,
3039.670,15.961848,
3038.706,16.248566,
3037.742,17.998443,
3036.777,19.685015,
3035.813,19.973125,
3034.849,20.412456,
3033.885,22.373394,
3032.920,24.136064,
3031.956,24.60662,
3030.992,24.866287,
3030.028,25.084062,
3029.063,25.269852,
3028.099,25.509231,
3027.135,26.425954,
3026.171,28.509329,
3025.207,30.06067,
3024.242,30.521828,
3023.278,31.796411,
3022.314,34.101222,
3021.350,34.432106,
3020.385,32.194826,
3019.421,31.508715,
3018.457,32.792137,
3017.493,34.693334,
3016.528,36.809569,
3015.564,37.683227,
3014.600,38.070897,
3013.636,40.32678,
3012.672,44.220359,
3011.707,46.985127,
3010.743,48.436765,
3009.779,50.164229,
3008.815,52.046722,
3007.850,54.463983,
3006.886,57.33222,
3005.922,59.368816,
3004.958,61.330952,
3003.993,64.856605,
3003.029,69.494668,
3002.065,74.091366,
3001.101,78.224302,
3000.136,81.200592,
2999.172,84.055354,
2998.208,90.963285,
2997.244,99.347976,
2996.280,105.41006,
2995.315,111.13108,
2994.351,117.81254,
2993.387,125.22023,
2992.423,133.00638,
2991.458,141.91501,
2990.494,153.46287,
2989.530,167.29097,
2988.566,182.25613,
2987.601,197.83037,
2986.637,213.14601,
2985.673,227.98852,
2984.709,241.74084,
2983.745,259.03505,
2982.780,282.15533,
2981.816,305.00867,
2980.852,324.05925,
2979.888,342.95324,
2978.923,363.81363,
2977.959,385.64046,
2976.995,408.59512,
2976.031,431.12375,
2975.066,451.80015,
2974.102,473.10055,
2973.138,494.98471,
2972.174,511.64711,
2971.209,522.33907,
2970.245,528.43845,
2969.281,530.53013,
2968.317,530.26848,
2967.353,528.87616,
2966.388,526.03706,
2965.424,522.03096,
2964.460,516.12967,
2963.496,508.04933,
2962.531,504.47307,
2961.567,505.56982,
2960.603,506.62733,
2959.639,507.68541,
2958.674,513.35129,
2957.710,524.24363,
2956.746,537.59209,
2955.782,552.86615,
2954.818,572.64081,
2953.853,597.91976,
2952.889,625.6376,
2951.925,656.19388,
2950.961,684.47533,
2949.996,710.93194,
2949.032,741.73011,
2948.068,775.45723,
2947.104,804.75967,
2946.139,831.2565,
2945.175,863.78532,
2944.211,900.36456,
2943.247,928.67139,
2942.282,950.21382,
2941.318,978.19113,
2940.354,1009.3948,
2939.390,1038.4433,
2938.426,1063.3568,
2937.461,1077.0025,
2936.497,1079.7308,
2935.533,1072.1152,
2934.569,1059.528,
2933.604,1054.4019,
2932.640,1052.6149,
2931.676,1042.2655,
2930.712,1027.7065,
2929.747,1016.538,
2928.783,1007.6131,
2927.819,1005.7894,
2926.855,1008.6504,
2925.891,1013.71,
2924.926,1022.6304,
2923.962,1038.4159,
2922.998,1062.3693,
2922.034,1096.873,
2921.069,1139.2573,
2920.105,1180.0757,
2919.141,1222.9778,
2918.177,1268.1316,
2917.212,1316.865,
2916.248,1372.5225,
2915.284,1427.8779,
2914.320,1474.6389,
2913.355,1510.3295,
2912.391,1530.1576,
2911.427,1532.5653,
2910.463,1513.0387,
2909.499,1474.1167,
2908.534,1417.0728,
2907.570,1348.8809,
2906.606,1281.2955,
2905.642,1208.0887,
2904.677,1127.8595,
2903.713,1042.609,
2902.749,954.26163,
2901.785,867.66576,
2900.820,788.54115,
2899.856,710.81222,
2898.892,628.12206,
2897.928,547.96119,
2896.964,476.07064,
2895.999,411.15849,
2895.035,355.5727,
2894.071,309.07928,
2893.107,272.08506,
2892.142,240.35082,
2891.178,209.98293,
2890.214,183.01704,
2889.250,162.22562,
