,HDPE spectra,
Raman shift [1/cm],Counts/sec,
3150.018,10.313843,
3149.054,10.342988,
3148.090,10.296998,
3147.126,10.258249,
3146.162,10.727441,
3145.197,13.128622,
3144.233,14.793852,
3143.269,12.708634,
3142.305,9.251059,
3141.340,7.4985467,
3140.376,6.9917148,
3139.412,8.2513346,
3138.448,9.5513046,
3137.483,9.4226933,
3136.519,9.3226364,
3135.555,9.6341115,
3134.591,10.565698,
3133.626,11.7205,
3132.662,11.847936,
3131.698,11.113014,
3130.734,11.010484,
3129.770,12.047538,
3128.805,12.612638,
3127.841,12.143074,
3126.877,12.772545,
3125.913,14.429226,
3124.948,13.47674,
3123.984,12.345332,
3123.020,14.493478,
3122.056,16.987608,
3121.091,14.92657,
3120.127,10.833762,
3119.163,10.55211,
3118.199,12.612182,
3117.235,14.811611,
3116.270,17.366548,
3115.306,18.32792,
3114.342,18.516764,
3113.378,17.927346,
3112.413,17.188522,
3111.449,17.288978,
3110.485,17.487892,
3109.521,17.074188,
3108.556,15.987329,
3107.592,14.152658,
3106.628,12.990036,
3105.664,13.2789,
3104.699,14.756875,
3103.735,17.683546,
3102.771,19.794974,
3101.807,20.808676,
3100.843,20.122241,
3099.878,18.283167,
3098.914,18.759928,
3097.950,21.423012,
3096.986,21.457091,
3096.021,19.124801,
3095.057,19.404919,
3094.093,21.482986,
3093.129,21.414553,
3092.164,20.758564,
3091.200,21.214806,
3090.236,22.468109,
3089.272,24.317167,
3088.308,26.465961,
3087.343,28.373926,
3086.379,29.78289,
3085.415,29.993936,
3084.451,29.838678,
3083.486,31.723679,
3082.522,33.397638,
3081.558,33.045966,
3080.594,32.916671,
3079.629,33.80819,
3078.665,34.718678,
3077.701,34.818086,
3076.737,35.473434,
3075.772,37.80561,
3074.808,39.166332,
3073.844,37.975008,
3072.880,36.140925,
3071.916,33.889011,
3070.951,34.940338,
3069.987,39.747304,
3069.023,41.495568,
3068.059,40.221977,
3067.094,38.979952,
3066.130,38.136238,
3065.166,37.637948,
3064.202,37.376242,
3063.237,36.271555,
3062.273,34.658678,
3061.309,35.893226,
3060.345,39.404586,
3059.381,38.648061,
3058.416,36.771047,
3057.452,37.965912,
3056.488,39.732588,
3055.524,38.731279,
3054.559,36.809336,
3053.595,37.42287,
3052.631,39.40606,
3051.667,39.62373,
3050.702,39.26742,
3049.738,39.704848,
3048.774,40.165054,
3047.810,40.566295,
3046.845,41.042008,
3045.881,41.47479,
3044.917,41.845,
3043.953,42.302372,
3042.989,43.074919,
3042.024,44.025407,
3041.060,44.694906,
3040.096,44.64281,
3039.132,44.08954,
3038.167,43.534422,
3037.203,43.71395,
3036.239,44.515296,
3035.275,45.944274,
3034.310,47.785507,
3033.346,48.354764,
3032.382,47.825962,
3031.418,47.279736,
3030.453,46.803356,
3029.489,47.012884,
3028.525,48.119924,
3027.561,49.50876,
3026.597,51.33482,
3025.632,52.245372,
3024.668,52.559936,
3023.704,53.279182,
3022.740,53.934072,
3021.775,54.02798,
3020.811,54.05899,
3019.847,55.387336,
3018.883,57.768252,
3017.918,58.17007,
3016.954,56.843638,
3015.990,55.641998,
3015.026,54.89007,
3014.062,57.084555,
3013.097,59.713375,
3012.133,59.872978,
3011.169,59.645899,
3010.205,62.213753,
3009.240,65.512507,
3008.276,65.275065,
3007.312,63.978472,
3006.348,66.19685,
3005.383,68.850088,
3004.419,69.31381,
3003.455,69.004986,
3002.491,68.820078,
3001.526,68.958191,
3000.562,69.459726,
2999.598,69.913972,
2998.634,69.814149,
2997.670,70.169049,
2996.705,72.429453,
2995.741,75.216442,
2994.777,76.987428,
2993.813,78.49628,
2992.848,80.16185,
2991.884,81.014712,
2990.920,80.980024,
2989.956,81.142334,
2988.991,81.673142,
2988.027,82.384662,
2987.063,83.279012,
2986.099,84.615052,
2985.135,86.748913,
2984.170,89.729173,
2983.206,93.564506,
2982.242,95.008466,
2981.278,93.50585,
2980.313,94.517241,
2979.349,98.219014,
2978.385,102.71094,
2977.421,107.0413,
2976.456,108.89873,
2975.492,108.1403,
2974.528,107.8801,
2973.564,109.06156,
2972.599,111.82068,
2971.635,115.80784,
2970.671,118.25986,
2969.707,120.31226,
2968.743,125.60647,
2967.778,132.70518,
2966.814,138.15894,
2965.850,142.20168,
2964.886,147.98572,
2963.921,155.38052,
2962.957,161.00814,
2961.993,165.54102,
2961.029,172.31479,
2960.064,179.83993,
2959.100,186.12704,
2958.136,192.16008,
2957.172,198.03316,
2956.208,204.37756,
2955.243,212.06533,
2954.279,220.67894,
2953.315,229.79336,
2952.351,239.11658,
2951.386,246.8942,
2950.422,254.558,
2949.458,266.67288,
2948.494,279.5867,
2947.529,289.05228,
2946.565,299.89568,
2945.601,316.24174,
