,Nylon 66 Spectrum,
Raman shift [1/cm],Counts/sec,
3137.058,8.8293443,
3136.093,8.9239802,
3135.129,12.382009,
3134.165,15.963476,
3133.201,16.834829,
3132.237,18.058349,
3131.272,20.531884,
3130.308,20.884741,
3129.344,18.386573,
3128.380,19.404104,
3127.415,24.494572,
3126.451,24.489802,
3125.487,19.676657,
3124.523,20.036526,
3123.558,25.483846,
3122.594,29.16473,
3121.630,29.690241,
3120.666,28.93011,
3119.702,27.520051,
3118.737,30.313634,
3117.773,35.855765,
3116.809,35.014279,
3115.845,32.221476,
3114.880,31.239072,
3113.916,32.059607,
3112.952,35.616951,
3111.988,39.381338,
3111.023,38.610085,
3110.059,37.331991,
3109.095,42.295759,
3108.131,48.689268,
3107.166,53.691587,
3106.202,55.216146,
3105.238,50.774935,
3104.274,49.337507,
3103.310,54.596395,
3102.345,59.980282,
3101.381,62.165188,
3100.417,63.98958,
3099.453,65.936486,
3098.488,65.668113,
3097.524,62.635206,
3096.560,63.089382,
3095.596,67.606337,
3094.631,72.878483,
3093.667,78.84931,
3092.703,80.319394,
3091.739,78.736369,
3090.775,78.500632,
3089.810,79.485553,
3088.846,78.914656,
3087.882,77.457095,
3086.918,80.040727,
3085.953,85.290817,
3084.989,84.728109,
3084.025,82.193966,
3083.061,80.95006,
3082.096,81.160401,
3081.132,84.124549,
3080.168,85.911504,
3079.204,80.902019,
3078.239,74.732622,
3077.275,78.707878,
3076.311,84.090679,
3075.347,82.638275,
3074.383,83.55573,
3073.418,93.412666,
3072.454,99.164279,
3071.490,94.82556,
3070.526,90.200021,
3069.561,89.774198,
3068.597,91.152826,
3067.633,93.315641,
3066.669,93.731782,
3065.704,91.084584,
3064.740,90.704384,
3063.776,94.18659,
3062.812,96.315768,
3061.848,96.630157,
3060.883,96.477253,
3059.919,96.181192,
3058.955,96.586592,
3057.991,97.006587,
3057.026,94.563499,
3056.062,90.354008,
3055.098,91.247888,
3054.134,96.425017,
3053.169,93.869724,
3052.205,85.379418,
3051.241,86.855998,
3050.277,91.400339,
3049.312,91.449517,
3048.348,89.39318,
3047.384,88.651243,
3046.420,89.012485,
3045.456,89.394961,
3044.491,89.401803,
3043.527,87.74678,
3042.563,85.161535,
3041.599,83.288304,
3040.634,83.038212,
3039.670,86.335312,
3038.706,89.445747,
3037.742,89.733098,
3036.777,90.061416,
3035.813,93.025191,
3034.849,96.185705,
3033.885,96.654331,
3032.921,96.669246,
3031.956,97.650804,
3030.992,98.553613,
3030.028,98.721451,
3029.064,100.0805,
3028.099,103.28952,
3027.135,103.34544,
3026.171,99.033443,
3025.207,99.778101,
3024.242,107.95059,
3023.278,113.2609,
3022.314,111.38505,
3021.350,109.36231,
3020.385,109.41912,
3019.421,111.59755,
3018.457,116.13816,
3017.493,122.14647,
3016.529,128.84552,
3015.564,131.18533,
3014.600,130.22627,
3013.636,130.14201,
3012.672,131.65223,
3011.707,133.85943,
3010.743,136.92875,
3009.779,141.54678,
3008.815,147.27488,
3007.850,148.82421,
3006.886,149.11057,
3005.922,154.82607,
3004.958,162.44239,
3003.994,167.35144,
3003.029,170.30225,
3002.065,173.17371,
3001.101,176.59233,
3000.137,182.28415,
2999.172,190.08139,
2998.208,199.87568,
2997.244,210.86009,
2996.280,219.98292,
2995.315,228.31744,
2994.351,236.31504,
2993.387,243.72301,
2992.423,249.87397,
2991.458,255.87432,
2990.494,263.84158,
2989.530,275.19942,
2988.566,292.35425,
2987.602,309.4478,
2986.637,319.41577,
2985.673,328.70286,
2984.709,341.02539,
2983.745,355.35496,
2982.780,371.32342,
2981.816,389.38395,
2980.852,410.47375,
2979.888,433.63724,
2978.923,457.43639,
2977.959,482.20398,
2976.995,507.94872,
2976.031,533.91965,
2975.067,559.19807,
2974.102,588.94263,
2973.138,624.01317,
2972.174,661.33749,
2971.210,701.23786,
2970.245,744.04272,
2969.281,788.99766,
2968.317,834.7867,
2967.353,881.3014,
2966.388,932.41997,
2965.424,989.13517,
2964.460,1040.6477,
2963.496,1084.0548,
2962.531,1130.986,
2961.567,1181.5901,
2960.603,1221.3816,
2959.639,1250.6888,
2958.675,1280.0995,
2957.710,1311.7548,
2956.746,1343.3409,
2955.782,1374.7467,
2954.818,1408.7539,
2953.853,1447.4118,
2952.889,1488.9047,
2951.925,1533.6712,
2950.961,1588.4533,
2949.996,1647.0757,
2949.032,1701.0535,
2948.068,1755.097,
2947.104,1817.3014,
2946.140,1889.8953,
2945.175,1974.0095,
2944.211,2069.4499,
2943.247,2177.8109,
2942.283,2297.2139,
2941.318,2412.2595,
2940.354,2528.7916,
2939.390,2649.0501,
2938.426,2769.8203,
2937.461,2887.3053,
2936.497,3000.9688,
2935.533,3108.2783,
2934.569,3211.6486,
2933.604,3312.889,
2932.640,3406.8916,
2931.676,3481.4452,
2930.712,3543.0467,
2929.748,3607.4138,
2928.783,3665.5912,
2927.819,3709.0452,
2926.855,3748.3425,
2925.891,3795.8432,
2924.926,3834.1204,
2923.962,3836.2271,
2922.998,3810.219,
2922.034,3772.3124,
2921.069,3724.9512,
2920.105,3690.7954,
2919.141,3658.5967,
2918.177,3622.0269,
2917.213,3587.7652,
2916.248,3566.3225,
2915.284,3558.8921,
2914.320,3568.6773,
2913.356,3588.5093,
2912.391,3607.3306,
2911.427,3631.7067,
2910.463,3677.0729,
2909.499,3725.6344,
2908.534,3747.9079,
2907.570,3776.8507,
2906.606,3845.3446,
2905.642,3922.6277,
2904.677,3991.1147,
2903.713,4054.8229,
2902.749,4116.8341,
2901.785,4191.5554,
2900.821,4294.9103,
2899.856,4400.9668,
2898.892,4475.8378,
2897.928,4537.2385,
2896.964,4580.6154,
2895.999,4590.4104,
2895.035,4549.9993,
2894.071,4472.3197,
2893.107,4361.8393,
2892.142,4235.7755,
2891.178,4104.1135,
