,PET spectra,
Raman shift [1/cm],Counts/sec,
3135.129,85.23008,
3134.165,83.918098,
3133.201,85.040497,
3132.237,87.410416,
3131.272,89.452477,
3130.308,89.61927,
3129.344,89.276955,
3128.380,94.808205,
3127.415,106.12591,
3126.451,106.4569,
3125.487,95.398308,
3124.523,92.353775,
3123.558,98.04258,
3122.594,98.57695,
3121.630,92.945572,
3120.666,93.24453,
3119.702,98.250778,
3118.737,97.229294,
3117.773,94.479424,
3116.809,95.169273,
3115.845,97.569923,
3114.880,104.30469,
3113.916,111.49987,
3112.952,114.94883,
3111.988,117.4918,
3111.023,121.96953,
3110.059,126.0789,
3109.095,127.34675,
3108.131,127.6181,
3107.166,128.69844,
3106.202,133.42397,
3105.238,144.48203,
3104.274,155.20352,
3103.310,162.7375,
3102.345,171.05429,
3101.381,181.30273,
3100.417,187.17331,
3099.453,186.52422,
3098.488,186.0556,
3097.524,188.73007,
3096.560,199.12656,
3095.596,217.20833,
3094.631,229.08163,
3093.667,237.2892,
3092.703,254.65195,
3091.739,280.11835,
3090.775,307.31863,
3089.810,336.284,
3088.846,371.41211,
3087.882,411.0401,
3086.918,447.90222,
3085.953,484.85052,
3084.989,529.98633,
3084.025,578.35754,
3083.061,625.48126,
3082.096,672.2818,
3081.132,717.56195,
3080.168,755.7406,
3079.204,778.56195,
3078.239,787.13727,
3077.275,782.16602,
3076.311,764.75702,
3075.347,734.60675,
3074.383,695.47797,
3073.418,652.64191,
3072.454,607.94586,
3071.490,564.33319,
3070.526,525.33813,
3069.561,492.66354,
3068.597,467.06784,
3067.633,448.74869,
3066.669,435.09766,
3065.704,424.68671,
3064.740,413.11603,
3063.776,397.05533,
3062.812,379.18866,
3061.848,359.03488,
3060.883,332.95938,
3059.919,302.43686,
3058.955,273.61356,
3057.991,247.12643,
3057.026,222.1086,
3056.062,200.58359,
3055.098,187.64609,
3054.134,182.74193,
3053.169,178.00951,
3052.205,172.82382,
3051.241,166.08464,
3050.277,159.80144,
3049.312,153.32123,
3048.348,146.56966,
3047.384,140.29897,
3046.420,135.38698,
3045.456,132.65625,
3044.491,131.50247,
3043.527,130.74635,
3042.563,129.23894,
3041.599,124.66524,
3040.634,119.8914,
3039.670,116.13294,
3038.706,114.1552,
3037.742,115.92305,
3036.777,117.82291,
3035.813,116.90195,
3034.849,116.77773,
3033.885,120.43645,
3032.921,125.30078,
3031.956,130.46498,
3030.992,133.1013,
3030.028,129.44141,
3029.064,128.6642,
3028.099,133.70547,
3027.135,135.40053,
3026.171,132.02019,
3025.207,130.76913,
3024.242,133.71042,
3023.278,137.41576,
3022.314,139.85001,
3021.350,140.86589,
3020.385,141.37669,
3019.421,146.08919,
3018.457,155.77188,
3017.493,160.98412,
3016.529,161.23334,
3015.564,163.64961,
3014.600,169.34726,
3013.636,177.78111,
3012.672,186.87695,
3011.707,190.13802,
3010.743,188.38606,
3009.779,192.97591,
3008.815,202.50508,
3007.850,205.62006,
3006.886,208.0112,
3005.922,220.88008,
3004.958,236.72369,
3003.994,244.66667,
3003.029,248.20651,
3002.065,255.21758,
3001.101,264.09714,
3000.137,270.24557,
2999.172,274.95001,
2998.208,280.09686,
2997.244,285.00012,
2996.280,287.37735,
2995.315,286.83582,
2994.351,282.96732,
2993.387,278.79922,
2992.423,276.6203,
2991.458,274.06927,
2990.494,269.34531,
2989.530,265.897,
2988.566,267.48438,
